t,ts,demand,R,R_target,u_hat,spread,rho_t,violated,viol_rate,z
97,2023-10-23 18:15:00,76795.02,92898.88511275809,94164.77495216837,74475.4609375,14957.7734375,0.0,0,0.0,0.9390495
98,2023-10-23 18:30:00,76505.51,93718.172919173,95629.8444674745,75895.1171875,14992.2734375,0.0,0,0.0,0.9282179
99,2023-10-23 18:45:00,77659.15,94439.41969616344,96122.3288424745,76524.6640625,14888.1484375,0.0,0,0.0,0.97137886
100,2023-10-23 19:00:00,73159.43,95212.86088712308,97017.55699936225,77289.0,14987.5859375,0.0,0,0.0,0.8030316
101,2023-10-23 19:15:00,68915.18,95064.8266244938,94719.4133450255,75708.7890625,14442.1796875,0.0,0,0.0,0.64424217
102,2023-10-23 19:30:00,67796.22,93715.12850959464,90565.83290816327,72570.703125,13670.71875,0.0,0,0.0,0.60237867
103,2023-10-23 19:45:00,71608.93,91800.86646341268,87334.25502232143,70005.7109375,13164.3203125,0.0,0,0.0,0.745023
104,2023-10-23 20:00:00,75105.13,90809.9632128455,88497.85562818877,70745.3515625,13486.3984375,0.0,0,0.0,0.8758259
105,2023-10-23 20:15:00,73706.59,90944.43939567552,91258.21715561225,72986.453125,13880.875,0.0,0,0.0,0.8235026
106,2023-10-23 20:30:00,73896.72,90920.74848896265,90865.46970663265,73186.09375,13430.84375,0.0,0,0.0,0.8306157
107,2023-10-23 20:45:00,74546.96,90764.5272426565,90400.0110012755,73111.234375,13134.109375,0.0,0,0.0,0.8549431
108,2023-10-23 21:00:00,83546.47,90637.2265873978,90340.19172512754,73205.0859375,13017.3671875,0.0,0,0.0,1.1916403
109,2023-10-23 21:15:00,76971.79,92163.04609523457,95723.29161352041,77120.8828125,14132.0625,0.0,0,0.0,0.9456628
110,2023-10-23 21:30:00,74566.0,92678.91572489124,93882.61152742346,76099.5234375,13509.6328125,0.0,0,0.0,0.85565543
111,2023-10-23 21:45:00,68198.78,92182.06851858458,91022.75837053571,74085.1015625,12867.3671875,0.0,0,0.0,0.6174396
112,2023-10-23 22:00:00,68319.21,89829.13911415717,84338.97050382654,69213.453125,11490.703125,0.0,0,0.0,0.62194526
113,2023-10-23 22:15:00,61905.92,87151.57595133859,80903.92857142858,66113.9921875,11235.765625,0.0,0,0.0,0.38200587
114,2023-10-23 22:30:00,57240.14,83176.98546823292,73902.94100765306,60193.1328125,10415.203125,0.0,0,0.0,0.20744574
115,2023-10-23 22:45:00,52918.34,78252.56836730384,66762.26179846938,54154.8359375,9577.734375,0.0,0,0.0,0.045754883
116,2023-10-23 23:00:00,45830.99,73004.8774130757,60760.265186543365,49412.36328125,8620.88671875,0.0,0,0.0,0.21940309
117,2023-10-23 23:15:00,41379.65,67459.76919553053,54521.183354591834,44375.11328125,7707.8671875,0.0,0,0.0,0.38594037
118,2023-10-23 23:30:00,36597.41,62037.876889518055,49386.794842155614,39871.98046875,7228.30859375,0.0,0,0.0,0.5648575
119,2023-10-23 23:45:00,34554.81,56856.8777336958,44767.879703443876,35311.1328125,7184.1953125,0.0,0,0.0,0.641277
120,2023-10-24 00:00:00,34226.86,52029.0447209053,40764.101024394135,31303.572265625,7187.068359375,0.0,0,0.0,0.6535466
121,2023-10-24 00:15:00,28375.15,47684.83721582631,37548.353037308676,28167.04296875,7126.88671875,0.0,0,0.0,0.8724756
122,2023-10-24 00:30:00,28169.3,43734.46804844767,34516.939991230865,24759.99609375,7412.251953125,0.0,0,0.0,0.880177
123,2023-10-24 00:45:00,25580.49,40284.069791518596,32233.140525350766,22130.31640625,7675.013671875,0.0,0,0.0,0.9770318
124,2023-10-24 01:00:00,23045.03,37338.06779538955,30464.063137755104,19973.943359375,7969.23828125,0.0,0,0.0,1.0718906
125,2023-10-24 01:15:00,17167.59,34837.893650171914,29004.15397799745,18157.59765625,8240.01953125,0.0,0,0.0,1.2917824
126,2023-10-24 01:30:00,15739.35,32676.728203796993,27634.008828922193,16326.6328125,8590.099609375,0.0,0,0.0,1.3452168
127,2023-10-24 01:45:00,16663.72,30805.787092386847,26440.25783242985,14831.46875,8819.080078125,0.0,0,0.0,1.3106335
128,2023-10-24 02:00:00,19293.33,29210.365047100637,25487.71360809949,13766.859375,8904.21484375,0.0,0,0.0,1.2122524
129,2023-10-24 02:15:00,17151.02,27877.69723019621,24768.13899075255,13117.80078125,8850.64453125,0.0,0,0.0,1.2924023
130,2023-10-24 02:30:00,17872.86,26774.06760115648,24198.931800063776,12542.9375,8854.94140625,0.0,0,0.0,1.2653962
131,2023-10-24 02:45:00,20995.13,25859.482277761064,23725.449856505104,12135.5546875,8804.7265625,0.0,0,0.0,1.1485832
132,2023-10-24 03:00:00,16382.2,25120.500756103662,23396.210538903062,12042.1640625,8625.5546875,0.0,0,0.0,1.321166
133,2023-10-24 03:15:00,11575.7,24539.378730005978,23183.427335778062,11834.671875,8621.53515625,0.0,0,0.0,1.5009909
134,2023-10-24 03:30:00,7994.07,24066.75961036643,22963.981664540817,11444.2734375,8751.40625,0.0,0,0.0,1.6349897
135,2023-10-24 03:45:00,8008.75,23659.21534292933,22708.278718909438,10963.13671875,8922.666015625,0.0,0,0.0,1.6344405
136,2023-10-24 04:00:00,8875.15,23308.989360107927,22491.795400191328,10617.33203125,9020.91015625,0.0,0,0.0,1.6020261
137,2023-10-24 04:15:00,8592.04,23041.90626381024,22418.71237244898,10473.12109375,9074.9453125,0.0,0,0.0,1.6126181
138,2023-10-24 04:30:00,7993.2,22892.85942452686,22545.08346619898,10462.4296875,9179.0703125,0.0,0,0.0,1.6350224
139,2023-10-24 04:45:00,8055.72,22891.719545988955,22889.05982940051,10545.87109375,9376.99609375,0.0,0,0.0,1.6326833
140,2023-10-24 05:00:00,10019.97,23073.171033117014,23496.557836415817,10762.6875,9673.79296875,0.0,0,0.0,1.5591952
141,2023-10-24 05:15:00,12459.23,23526.845143701677,24585.418068399234,11304.47265625,10089.400390625,0.0,0,0.0,1.4679354
142,2023-10-24 05:30:00,13229.8,24424.875921780585,26520.281070631376,12378.84375,10743.107421875,0.0,0,0.0,1.4391062
143,2023-10-24 05:45:00,15339.33,25914.806518572303,29391.311244419645,13976.62109375,11710.384765625,0.0,0,0.0,1.3601828
144,2023-10-24 06:00:00,19031.66,28142.34525695788,33339.93564652423,16330.83984375,12921.638671875,0.0,0,0.0,1.2220422
145,2023-10-24 06:15:00,24720.88,31304.491050087352,38682.831234056124,19934.43359375,14242.96875,0.0,0,0.0,1.0091922
146,2023-10-24 06:30:00,30809.41,35567.823988568794,45515.60084502551,25555.11328125,15163.78125,0.0,0,0.0,0.78140306
147,2023-10-24 06:45:00,38009.19,40805.767197769834,53027.634685905614,33485.0859375,14846.27734375,0.0,0,0.0,0.51203877
148,2023-10-24 07:00:00,45817.23,47004.786065862354,61469.1634247449,43121.98828125,13938.1640625,0.0,0,0.0,0.2199178
149,2023-10-24 07:15:00,45484.11,53435.10610149268,68439.1861846301,51801.9140625,12639.16796875,0.0,0,0.0,0.23238082
150,2023-10-24 07:30:00,50844.45,58213.20262324513,69362.09450733419,55384.90234375,10618.33203125,0.0,0,0.0,0.03183526
151,2023-10-24 07:45:00,58611.42,61631.39880374608,69607.18989158163,57133.6796875,9476.0,0.0,0,0.0,0.25874928
152,2023-10-24 08:00:00,61040.93,64691.68436829827,71832.35068558673,59735.7109375,9189.6953125,0.0,0,0.0,0.34964406
153,2023-10-24 08:15:00,62067.8,67460.49471071057,73921.05217633929,62033.00390625,9031.23046875,0.0,0,0.0,0.38806224
154,2023-10-24 08:30:00,66210.57,69863.59292935327,75470.82210618623,63640.75390625,8987.18359375,0.0,0,0.0,0.543055
155,2023-10-24 08:45:00,68446.23,72284.3922109427,77932.92386798469,65729.4765625,9270.8359375,0.0,0,0.0,0.6266973
156,2023-10-24 09:00:00,68302.27,74778.38821156294,80597.7122130102,67860.875,9676.046875,0.0,0,0.0,0.6213116
157,2023-10-24 09:15:00,70887.44,77124.1609222012,82597.63058035714,69318.1171875,10088.3125,0.0,0,0.0,0.7180299
158,2023-10-24 09:30:00,76323.05,79519.11541180359,85107.34255420919,71036.171875,10689.7265625,0.0,0,0.0,0.92139155
159,2023-10-24 09:45:00,76775.33,82334.66327391303,88904.27495216837,73834.7734375,11448.1484375,0.0,0,0.0,0.93831265
160,2023-10-24 10:00:00,78430.03,85146.33980194319,91706.91836734694,75961.390625,11961.71875,0.0,0,0.0,1.0002198
161,2023-10-24 10:15:00,76215.5,87867.04390408982,94215.35347576531,77797.4296875,12472.53125,0.0,0,0.0,0.9173679
162,2023-10-24 10:30:00,80275.09,90086.1049755287,95263.9141422194,78395.9609375,12814.4140625,0.0,0,0.0,1.0692488
163,2023-10-24 10:45:00,78923.49,92294.65042802315,97447.9231505102,79850.40625,13368.65625,0.0,0,0.0,1.0186815
164,2023-10-24 11:00:00,83461.17,94108.69025656773,98341.4498565051,80406.3671875,13625.1015625,0.0,0,0.0,1.188449
165,2023-10-24 11:15:00,81249.49,96009.19650867904,100443.71109693877,81950.96875,14048.75,0.0,0,0.0,1.1057038
166,2023-10-24 11:30:00,79790.19,97464.32228184064,100859.61575255102,82253.875,14134.59375,0.0,0,0.0,1.0511072
167,2023-10-24 11:45:00,84604.87,98451.01212471191,100753.2884247449,81938.9921875,14293.03125,0.0,0,0.0,1.231238
168,2023-10-24 12:00:00,94200.51,99657.39843468354,102472.29982461735,83095.921875,14720.0390625,0.0,0,0.0,1.5902382
169,2023-10-24 12:15:00,88048.35,101488.05564216111,105759.5891262755,86064.15625,14962.421875,0.0,0,0.0,1.3600686
170,2023-10-24 12:30:00,89496.96,102661.4816791046,105399.47576530612,86084.6875,14673.25,0.0,0,0.0,1.4142652
171,2023-10-24 12:45:00,92556.82,103620.23833927629,105857.3372130102,86370.171875,14804.203125,0.0,0,0.0,1.5287431
172,2023-10-24 13:00:00,85946.99,104605.07846058013,106903.03874362246,87166.8203125,14993.40625,0.0,0,0.0,1.2814506
173,2023-10-24 13:15:00,86166.77,104819.327459077,105319.24178890306,85732.375,14879.9453125,0.0,0,0.0,1.2896733
174,2023-10-24 13:30:00,88571.9,104855.87863143042,104941.1647002551,84935.53125,15198.078125,0.0,0,0.0,1.3796558
175,2023-10-24 13:45:00,87351.34,105104.652709412,105685.12555803571,85156.6328125,15595.2890625,0.0,0,0.0,1.3339915
176,2023-10-24 14:00:00,86979.69,105193.28545207309,105400.09518494898,84780.765625,15664.296875,0.0,0,0.0,1.3200867
177,2023-10-24 14:15:00,88732.47,105176.76037129809,105138.2018494898,84380.390625,15769.5,0.0,0,0.0,1.3856633
178,2023-10-24 14:30:00,91608.93,105320.5768389903,105656.14859693877,84619.6875,15981.1875,0.0,0,0.0,1.4932798
179,2023-10-24 14:45:00,81307.48,105738.79396586462,106714.63392857143,85450.078125,16154.46875,0.0,0,0.0,1.1078732
180,2023-10-24 15:00:00,82215.1,104829.48665939603,102707.7696109694,82435.9296875,15400.3125,0.0,0,0.0,1.1418301
181,2023-10-24 15:15:00,84123.62,103929.79735800579,101830.52232142858,81214.421875,15661.84375,0.0,0,0.0,1.213233
182,2023-10-24 15:30:00,83993.93,103462.92977050201,102373.57206632654,81280.796875,16023.96875,0.0,0,0.0,1.208381
183,2023-10-24 15:45:00,78838.97,103112.28807627741,102294.12412308673,81194.6953125,16029.0234375,0.0,0,0.0,1.0155193
184,2023-10-24 16:00:00,76815.18,102000.0994770549,99404.99274553571,79107.2890625,15419.9609375,0.0,0,0.0,0.9398036
185,2023-10-24 16:15:00,73496.2,100528.13943623434,97093.56600765306,77138.34375,15159.78125,0.0,0,0.0,0.8156313
186,2023-10-24 16:30:00,77753.9,98574.71729605281,94016.73230229592,74564.984375,14777.296875,0.0,0,0.0,0.97492373
187,2023-10-24 16:45:00,78127.34,97547.39107407369,95150.29655612246,75150.03125,15194.0,0.0,0,0.0,0.9888954
188,2023-10-24 17:00:00,75175.53,97003.0808070174,95733.0235172194,75741.859375,15187.0859375,0.0,0,0.0,0.8784597
189,2023-10-24 17:15:00,81489.41,96142.82686944024,94135.5676817602,74781.9375,14702.7578125,0.0,0,0.0,1.1146797
